method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive
Comprehensive,traditional,50,5000,247,50,297,16.835016835016834,0.9099999999999999,0.7946428571428571,0.5426829268292683,0.644927536231884,0.5794270833333334,0.7925531914893617,0.5033783783783784,0.6157024793388429,0.543002915451895,0.9648903391722063,0.79634479567752,147,39
Comprehensive,traditional,100,5000,247,100,347,14.409221902017292,0.8999999999999999,0.8608695652173913,0.6036585365853658,0.7096774193548387,0.642023346303502,0.9095477386934674,0.6114864864864865,0.7313131313131314,0.6543745480838756,0.9644827502547431,0.8398632489978806,115,18
Comprehensive,traditional,200,5000,247,200,447,11.185682326621924,0.8899999999999999,0.8134328358208955,0.6646341463414634,0.7315436241610739,0.689873417721519,0.8388429752066116,0.6858108108108109,0.7546468401486989,0.711781206171108,0.9713705177349703,0.8555532272496643,93,39
Comprehensive,traditional,500,5000,247,500,747,6.693440428380187,0.8599999999999999,1.0,0.6402439024390244,0.7806691449814126,0.6898817345597897,1.0,0.6959459459459459,0.8207171314741036,0.7410071942446043,0.9880379931098064,0.9295360087966792,90,0
Comprehensive,traditional,750,5000,247,750,997,5.015045135406218,0.84,0.9344262295081968,0.6951219512195121,0.7972027972027972,0.7326478149100257,0.9354838709677419,0.7837837837837838,0.8529411764705882,0.8100558659217877,0.9885693143772138,0.9325140948286832,64,16
Comprehensive,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.83,0.9327731092436975,0.676829268292683,0.784452296819788,0.7161290322580646,0.9395161290322581,0.7871621621621622,0.8566176470588235,0.8135474860335196,0.9929508952399437,0.9496347059967672,63,15
Filtered Masking Diffusion,generative_filtered,50,5000,247,50,297,16.835016835016834,0.9099999999999999,0.7152777777777778,0.6280487804878049,0.6688311688311688,0.64375,0.7922077922077922,0.6182432432432432,0.6944971537001897,0.6466431095406361,0.9547794652821583,0.7872147500367767,113,48
Filtered Masking Diffusion,generative_filtered,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.753731343283582,0.6158536585365854,0.6778523489932886,0.6392405063291139,0.8061674008810573,0.6182432432432432,0.6998087954110899,0.6484762579730687,0.9608277936823718,0.7899479823795235,113,44
Filtered Masking Diffusion,generative_filtered,200,5000,247,200,447,11.185682326621924,0.8999999999999999,0.8278688524590164,0.6158536585365854,0.7062937062937062,0.6491002570694088,0.7725321888412017,0.6081081081081081,0.6805293005671077,0.6351446718419196,0.9600004852249018,0.7774286746585232,116,53
Filtered Masking Diffusion,generative_filtered,500,5000,247,500,747,6.693440428380187,0.8599999999999999,0.8106060606060606,0.6524390243902439,0.722972972972973,0.6789340101522843,0.8152173913043478,0.7601351351351351,0.7867132867132867,0.7705479452054794,0.980601921490611,0.8836117607727498,71,51
