method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive
Masking Diffusion,generative,50,5000,247,50,297,16.835016835016834,0.9199999999999999,0.7946428571428571,0.5426829268292683,0.644927536231884,0.5794270833333334,0.8263157894736842,0.5304054054054054,0.6460905349794238,0.5713245997088792,0.9589948566160416,0.7872967276794282,139,33
Filtered Masking Diffusion,generative_filtered,50,5000,247,50,297,16.835016835016834,0.9099999999999999,0.7152777777777778,0.6280487804878049,0.6688311688311688,0.64375,0.7922077922077922,0.6182432432432432,0.6944971537001897,0.6466431095406361,0.9547794652821583,0.7872147500367767,113,48
ScoreFiltered Masking Diffusion,generative_score_filtered,50,5000,247,50,297,16.835016835016834,0.9299999999999999,0.9885057471264368,0.524390243902439,0.6852589641434262,0.5787348586810229,0.9927536231884058,0.46283783783783783,0.631336405529954,0.5181543116490166,0.9562533359211995,0.7906048071222634,159,1
Frequency domain,traditional,50,5000,247,50,297,16.835016835016834,0.8799999999999999,0.6706586826347305,0.6829268292682927,0.676737160120846,0.6804374240583232,0.7335640138408305,0.7162162162162162,0.7247863247863248,0.7196198234894773,0.96270197486535,0.7992712381673498,84,77
Masking Diffusion,generative,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.8412698412698413,0.6463414634146342,0.7310344827586207,0.6777493606138107,0.8849557522123894,0.6756756756756757,0.7662835249042146,0.7092198581560284,0.970299383764375,0.8499557143068392,96,26
Filtered Masking Diffusion,generative_filtered,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.753731343283582,0.6158536585365854,0.6778523489932886,0.6392405063291139,0.8061674008810573,0.6182432432432432,0.6998087954110899,0.6484762579730687,0.9608277936823718,0.7899479823795235,113,44
ScoreFiltered Masking Diffusion,generative_score_filtered,100,5000,247,100,347,14.409221902017292,0.9299999999999999,0.8543689320388349,0.5365853658536586,0.6591760299625468,0.5797101449275363,0.8846153846153846,0.46621621621621623,0.6106194690265486,0.5149253731343284,0.955345965354942,0.7692620897752452,158,18
Noise injection,traditional,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.9285714285714286,0.6341463414634146,0.7536231884057971,0.6770833333333334,0.97,0.6554054054054054,0.782258064516129,0.7008670520231214,0.9770537143966228,0.8768728100110557,102,6
Masking Diffusion,generative,200,5000,247,200,447,11.185682326621924,0.8999999999999999,0.7769230769230769,0.6158536585365854,0.6870748299319728,0.6424936386768448,0.8049792531120332,0.6554054054054054,0.7225325884543762,0.6807017543859649,0.9732119462370808,0.8246904114575843,102,47
Filtered Masking Diffusion,generative_filtered,200,5000,247,200,447,11.185682326621924,0.8999999999999999,0.8278688524590164,0.6158536585365854,0.7062937062937062,0.6491002570694088,0.7725321888412017,0.6081081081081081,0.6805293005671077,0.6351446718419196,0.9600004852249018,0.7774286746585232,116,53
